Age,Gender,MaritalStatus,GSS_Office_Branch,GSS_Job_Role,Monthly_Base_Salary_PHP,Hourly_Base_Rate_PHP,PSA_Core_Inflation_Percent,NCR_Statutory_Wage_Floor_PHP,OverTime,JobInvolvement,StandardHours,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
33,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,3,4,1,3,14,0,0,0,false
42,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,4,80,1,2,3,2,10,0,0,0,false
37,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,3,4,4,17,1,0,0,false
38,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,true,3,80,1,2,2,3,17,1,0,0,true
43,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Shared Services Team Lead,72000.0,413.79,4.4,780.0,false,3,80,1,3,1,2,10,1,0,0,false
42,Male,Single,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,1,2,3,14,1,0,0,false
35,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,2,80,2,3,3,3,10,1,1,0,false
31,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,1,1,3,12,1,0,0,true
38,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,3,3,3,18,1,0,0,false
35,Female,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,3,80,1,4,1,4,16,1,0,0,false
37,Female,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,55000.0,316.09,4.4,780.0,false,1,80,2,1,1,1,15,1,0,0,true
60,Male,Divorced,Makati Corporate GSS Head Office (via Gil Puyat Ave),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,1,80,4,3,3,4,19,1,0,0,false
38,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,1,80,4,2,3,3,15,1,0,1,false
38,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,4,4,2,3,10,2,2,1,false
46,Female,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,3,80,3,1,4,2,28,2,2,1,false
48,Male,Single,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,3,1,4,3,19,2,2,2,false
40,Male,Divorced,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,4,4,3,3,8,2,2,2,false
44,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,48000.0,275.86,4.4,780.0,false,4,80,1,2,4,3,10,2,0,2,false
40,Male,Married,BGC Regional Operations Hub (via EDSA/Kalayaan),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,2,80,4,4,4,1,5,3,2,0,false
57,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,4,3,3,15,3,2,1,false
33,Male,Divorced,Alabang Shared Services Data Center (via SLEX Southern Line),Shared Services Team Lead,90000.0,517.24,4.4,780.0,false,2,80,4,4,3,3,9,3,2,1,false
49,Male,Married,Alabang Shared Services Data Center (via SLEX Southern Line),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,false,3,80,3,1,2,2,20,3,2,1,false
55,Male,Married,Makati Corporate GSS Head Office (via Gil Puyat Ave),Specialized Shared Services Analyst,65000.0,373.56,4.4,780.0,true,3,80,3,4,2,3,4,3,2,1,false
